time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 10047, 0.976411, 0, 6, 1, 1, 1
1, 10167, 0.966067, 0, 5, 1, 1, 1
2, 10374, 0.933391, 0, 4, 1, 1, 1
3, 10020, 0.985429, 0, 5, 1, 1, 1
4, 10187, 0.964268, 0, 5, 1, 1, 1
5, 10172, 0.967951, 0, 5, 1, 1, 1
6, 10215, 0.959667, 0, 5, 1, 1, 1
7, 10265, 0.949635, 0, 4, 0, 1, 1
8, 9994, 0.990694, 0, 5, 1, 1, 1
9, 10228, 0.957959, 0, 4, 1, 1, 1
10, 10445, 0.922259, 0, 12, 0, 1, 1
11, 10492, 0.915269, 0, 5, 0, 1, 1
12, 10503, 0.913263, 0, 6, 0, 1, 1
13, 9162, 1.119734, 0, 34, 0, 1, 1
14, 10114, 0.972711, 0, 5, 1, 1, 1
15, 10191, 0.963203, 0, 6, 1, 1, 1
16, 10394, 0.935444, 0, 4, 1, 1, 1
17, 10275, 0.950462, 0, 5, 1, 1, 1
18, 10040, 0.979183, 0, 7, 1, 1, 1
19, 10284, 0.945838, 0, 5, 1, 1, 1
20, 10288, 0.947220, 0, 5, 1, 1, 1
21, 10314, 0.943863, 0, 4, 1, 1, 1
22, 10433, 0.922553, 0, 10, 0, 1, 1
23, 10000, 0.990500, 0, 5, 1, 1, 1
24, 10066, 0.985893, 0, 6, 1, 1, 1
25, 10312, 0.943658, 0, 4, 1, 1, 1
26, 9589, 1.057670, 0, 11, 1, 1, 1
27, 10438, 0.924986, 0, 5, 0, 1, 1
28, 10136, 0.970994, 0, 6, 1, 1, 1
29, 10311, 0.941422, 0, 4, 1, 1, 1
30, 10341, 0.944686, 0, 5, 1, 1, 1
31, 10212, 0.962103, 0, 4, 1, 1, 1
32, 10189, 0.964864, 0, 4, 1, 1, 1
33, 10044, 0.984867, 0, 6, 1, 1, 1
34, 10144, 0.969539, 0, 5, 1, 1, 1
35, 9990, 0.991191, 0, 4, 1, 1, 1
36, 10086, 0.973726, 0, 6, 1, 1, 1
37, 10166, 0.959768, 0, 5, 1, 1, 1
38, 9961, 0.998293, 0, 7, 0, 1, 1
39, 9524, 1.063734, 0, 40, 1, 1, 1
40, 9984, 0.989283, 0, 5, 1, 1, 1
41, 10064, 0.982313, 0, 4, 1, 1, 1
42, 9986, 0.993791, 0, 5, 1, 1, 1
43, 9784, 1.027698, 0, 5, 1, 1, 1
44, 9985, 0.992989, 0, 4, 1, 1, 1
45, 9884, 1.007183, 0, 4, 1, 1, 1
46, 9941, 1.001408, 0, 4, 1, 1, 1
47, 9999, 0.990899, 0, 6, 1, 1, 1
48, 9693, 1.033942, 0, 5, 1, 1, 1
49, 9791, 1.024002, 0, 6, 1, 1, 1
50, 9935, 1.002013, 0, 5, 1, 1, 1
51, 9848, 1.012084, 0, 5, 1, 1, 1
52, 9778, 1.022704, 0, 5, 1, 1, 1
53, 9734, 1.031025, 0, 8, 1, 1, 1
54, 9733, 1.027535, 0, 6, 1, 1, 1
55, 9671, 1.040327, 0, 11, 1, 1, 1
56, 9818, 1.018436, 0, 5, 1, 1, 1
57, 9799, 1.023166, 0, 5, 1, 1, 1
58, 9337, 1.096284, 0, 13, 1, 1, 1
59, 9742, 1.028947, 0, 5, 1, 1, 1
60, 105, 0.780952, 0, 3, 0, 1, 1
