time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 12683, 0.011117, 0, 2, 0, 0, 0
1, 12914, 0.010221, 0, 2, 0, 0, 0
2, 13186, 0.008342, 0, 2, 0, 0, 0
3, 12849, 0.009962, 0, 2, 0, 0, 0
4, 12379, 0.020115, 0, 2, 0, 0, 0
5, 12751, 0.011685, 0, 2, 0, 0, 0
6, 12769, 0.010494, 0, 2, 0, 0, 0
7, 12673, 0.009942, 0, 2, 0, 0, 0
8, 12064, 0.022464, 0, 3, 0, 0, 0
9, 12490, 0.014091, 0, 2, 0, 0, 0
10, 12719, 0.008570, 0, 2, 0, 0, 0
11, 12608, 0.009597, 0, 2, 0, 0, 0
12, 12679, 0.010332, 0, 2, 0, 0, 0
13, 12457, 0.011399, 0, 2, 0, 0, 0
14, 12201, 0.017294, 0, 3, 0, 0, 0
15, 12446, 0.012614, 0, 2, 0, 0, 0
16, 12181, 0.019539, 0, 21, 0, 0, 0
17, 12460, 0.009069, 0, 2, 0, 0, 0
18, 12143, 0.015894, 0, 2, 0, 0, 0
19, 12025, 0.015884, 0, 2, 0, 0, 0
20, 12360, 0.009628, 0, 2, 0, 0, 0
21, 12414, 0.009667, 0, 2, 0, 0, 0
22, 12237, 0.012993, 0, 3, 0, 0, 0
23, 12137, 0.012606, 0, 2, 0, 0, 0
24, 11958, 0.016892, 0, 2, 0, 0, 0
25, 12215, 0.014163, 0, 2, 0, 0, 0
26, 12249, 0.008246, 0, 2, 0, 0, 0
27, 12169, 0.015203, 0, 2, 0, 0, 0
28, 12077, 0.014325, 0, 2, 0, 0, 0
29, 11727, 0.021148, 0, 3, 0, 0, 0
30, 12098, 0.009092, 0, 2, 0, 0, 0
31, 12157, 0.009953, 0, 2, 0, 0, 0
32, 12045, 0.012536, 0, 2, 0, 0, 0
33, 11896, 0.014291, 0, 3, 0, 0, 0
34, 11651, 0.021372, 0, 2, 0, 0, 0
35, 12135, 0.010795, 0, 2, 0, 0, 0
36, 11999, 0.015501, 0, 2, 0, 0, 0
37, 12094, 0.012072, 0, 2, 0, 0, 0
38, 11907, 0.015789, 0, 2, 0, 0, 0
39, 11601, 0.017671, 0, 2, 0, 0, 0
40, 12059, 0.011195, 0, 2, 0, 0, 0
41, 11935, 0.012317, 0, 2, 0, 0, 0
42, 11972, 0.012613, 0, 2, 0, 0, 0
43, 11781, 0.017316, 0, 2, 0, 0, 0
44, 11461, 0.024867, 0, 3, 0, 0, 0
45, 11847, 0.013506, 0, 2, 0, 0, 0
46, 11791, 0.017217, 0, 2, 0, 0, 0
47, 11812, 0.011429, 0, 2, 0, 0, 0
48, 11638, 0.016326, 0, 2, 0, 0, 0
49, 11155, 0.032990, 0, 2, 0, 0, 0
50, 11749, 0.012852, 0, 2, 0, 0, 0
51, 11672, 0.017820, 0, 2, 0, 0, 0
52, 11553, 0.018956, 0, 2, 0, 0, 0
53, 11627, 0.017975, 0, 2, 0, 0, 0
54, 11300, 0.022212, 0, 3, 0, 0, 0
55, 11589, 0.016654, 0, 2, 0, 0, 0
56, 11567, 0.017723, 0, 2, 0, 0, 0
57, 11579, 0.017877, 0, 2, 0, 0, 0
58, 11587, 0.014067, 0, 3, 0, 0, 0
59, 11154, 0.032544, 0, 2, 0, 0, 0
60, 5, 0.000000, 0, 0, 0, 0, 0
