time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 8735, 0.120550, 0, 27, 0, 0, 0
1, 9333, 0.090218, 0, 5, 0, 0, 0
2, 9125, 0.100493, 0, 3, 0, 0, 0
3, 9499, 0.071060, 0, 30, 0, 0, 0
4, 9515, 0.062848, 0, 2, 0, 0, 0
5, 9505, 0.070489, 0, 26, 0, 0, 0
6, 9596, 0.064506, 0, 2, 0, 0, 0
7, 9341, 0.077829, 0, 27, 0, 0, 0
8, 8438, 0.135814, 0, 18, 0, 0, 0
9, 8666, 0.129010, 0, 21, 0, 0, 0
10, 9392, 0.069208, 0, 2, 0, 0, 0
11, 6667, 0.327884, 0, 45, 0, 0, 0
12, 8913, 0.091552, 0, 2, 0, 0, 0
13, 8702, 0.113422, 0, 27, 0, 0, 0
14, 9182, 0.078850, 0, 2, 0, 0, 0
15, 9090, 0.082178, 0, 4, 0, 0, 0
16, 8982, 0.090737, 0, 26, 0, 0, 0
17, 9352, 0.065120, 0, 2, 0, 0, 0
18, 8740, 0.100686, 0, 27, 0, 0, 0
19, 8935, 0.089312, 0, 2, 0, 0, 0
20, 8610, 0.114286, 0, 28, 0, 0, 0
21, 9282, 0.069597, 0, 2, 0, 0, 0
22, 8000, 0.170875, 0, 38, 0, 0, 0
23, 9147, 0.075653, 0, 4, 0, 0, 0
24, 8668, 0.104984, 0, 28, 0, 0, 0
25, 9235, 0.062480, 0, 2, 0, 0, 0
26, 9079, 0.075669, 0, 2, 0, 0, 0
27, 8108, 0.164652, 0, 27, 0, 0, 0
28, 9087, 0.073292, 0, 2, 0, 0, 0
29, 8606, 0.108645, 0, 28, 0, 0, 0
30, 8521, 0.115479, 0, 7, 0, 0, 0
31, 8200, 0.149146, 0, 22, 0, 0, 0
32, 8968, 0.080620, 0, 2, 0, 0, 0
33, 8922, 0.082717, 0, 3, 0, 0, 0
34, 8481, 0.118382, 0, 29, 0, 0, 0
35, 9122, 0.069612, 0, 2, 0, 0, 0
36, 8597, 0.106898, 0, 28, 0, 0, 0
37, 8900, 0.081011, 0, 3, 0, 0, 0
38, 8775, 0.093561, 0, 28, 0, 0, 0
39, 8811, 0.093292, 0, 3, 0, 0, 0
40, 8740, 0.094737, 0, 29, 0, 0, 0
41, 8868, 0.084687, 0, 2, 0, 0, 0
42, 8985, 0.074791, 0, 2, 0, 0, 0
43, 8296, 0.133679, 0, 30, 0, 0, 0
44, 8623, 0.105764, 0, 3, 0, 0, 0
45, 8488, 0.117696, 0, 20, 0, 0, 0
46, 8737, 0.086757, 0, 3, 0, 0, 0
47, 8456, 0.116249, 0, 30, 0, 0, 0
48, 8865, 0.080429, 0, 2, 0, 0, 0
49, 8499, 0.111543, 0, 2, 0, 0, 0
50, 8509, 0.109179, 0, 29, 0, 0, 0
51, 8634, 0.102965, 0, 6, 0, 0, 0
52, 8430, 0.112337, 0, 23, 0, 0, 0
53, 8780, 0.087472, 0, 7, 0, 0, 0
54, 8187, 0.131794, 0, 34, 0, 0, 0
55, 8793, 0.083703, 0, 2, 0, 0, 0
56, 8499, 0.107189, 0, 29, 0, 0, 0
57, 8884, 0.078681, 0, 2, 0, 0, 0
58, 8827, 0.078509, 0, 2, 0, 0, 0
59, 8052, 0.152509, 0, 34, 0, 0, 0
60, 53, 0.094340, 0, 1, 0, 0, 0
